Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People
Least developed countries: UN classification,1993,41.45699399,14.62106078,5.812346929,53.59831819,51.61342957,52.56484539,2.850802159,538439055,2294.0,0.000458425
Cyprus,1993,18.255,6.929,2.337,78.934,74.819,76.82631707,2.212746187,800660,9739.0,1.216371494
Barbados,1993,15.422,9.617,1.727,73.698,69.093,71.33934146,0.30241533,260963,796.0,0.305024084
Qatar,1993,21.499,2.092,3.796,76.391,74.947,75.65139024,0.918615107,489606,4233.0,0.864572738
Italy,1993,10.0,9.6,1.3,80.8,74.2,77.4195122,0.067924433,56797087,783000.0,1.376232801
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sudan,1993,41.525,11.787,6.028,57.472,54.363,55.87958537,4.37008783,21771781,0.0,0.0
Sub-Saharan Africa (developing only),1993,43.46104006,16.08916512,6.226280411,51.46551713,48.49964602,49.94426931,2.78676433,535575653,17406.0,0.003479063
Singapore,1993,17.0,4.7,1.76,78.947,74.563,76.70153659,3.003776052,3230700,120000.0,3.758166967
Malta,1993,15.2,8.0,2.11,78.21,73.57,75.83341463,0.982779504,361260,3500.0,0.911762254
Netherlands,1993,13.0,8.6,1.59,80.28,74.3,77.21707317,0.756056593,15184166,166000.0,1.099260436
Suriname,1993,22.794,7.109,2.639,71.092,64.374,67.65107317,1.398799119,418700,0.0,0.0
Middle East & North Africa (developing only),1993,31.03439481,6.781415213,4.431305965,68.14966983,64.76312238,66.41204136,2.202773796,236855890,17897.0,0.007552199
"Iran, Islamic Rep.",1993,29.114,6.427,4.137,66.806,64.704,65.72936585,1.442702175,58307457,0.0,0.0
Israel,1993,21.5,6.4,2.7,78.4,74.7,76.50487805,3.455466899,5123000,36104.0,0.75107401
Malaysia,1993,27.725,4.742,3.454,73.134,69.386,71.21429268,2.612033086,19205112,200573.0,1.044372977
Iceland,1993,17.7,6.6,2.21,80.85,76.77,78.7602439,1.256632077,261057,15251.0,5.868139056
Zambia,1993,44.107,19.757,6.34,43.031,41.691,42.34465854,2.351317308,8229480,0.0,0.0
Sub-Saharan Africa (all income levels),1993,43.46265277,16.09147935,6.226030619,51.46353956,48.49739573,49.94215727,2.787231965,535975278,17406.0,0.003476287
Senegal,1993,42.593,11.174,6.404,59.14,55.951,57.50660976,3.066990052,7990968,0.0,0.0
Papua New Guinea,1993,35.186,10.176,4.724,59.226,53.707,56.39919512,2.486316047,4369087,0.0,0.0
Malawi,1993,48.805,18.304,6.719,48.272,46.061,47.13953659,1.049772755,9759434,0.0,0.0
Zimbabwe,1993,35.606,10.307,4.84,58.173,54.993,56.54421951,2.286324137,10981267,0.0,0.0
Jordan,1993,33.953,4.846,5.169,71.81,69.003,70.37226829,5.167403995,3733000,1462.0,0.039058232
Poland,1993,13.5,10.3,1.95,75.7,66.7,71.0902439,0.306681391,38363667,2195.0,0.005724678
Mauritania,1993,40.226,10.325,5.875,60.149,57.455,58.76914634,2.822179007,2140957,0.0,0.0
Small states,1993,32.05340715,9.307970604,4.165795042,64.60392505,60.12500361,62.35550399,1.833463871,21664934,16789.0,0.084135289
New Caledonia,1993,24.0,5.7,2.85,75.2,68.0,71.51219512,2.612425753,176724,0.0,0.0
Trinidad and Tobago,1993,18.581,7.572,2.231,71.21,65.317,68.19163415,0.614415857,1237486,1277.0,0.103193087
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Honduras,1993,37.329,6.361,4.95,69.944,65.327,67.57919512,2.72163054,5180884,0.0,0.0
Myanmar,1993,25.302,9.78,3.158,61.675,57.234,59.40034146,1.484946747,43422423,0.0,0.0
Mexico,1993,27.599,5.217,3.199,74.47,68.839,71.58582927,2.102912194,89757916,312647.0,0.348322481
Tunisia,1993,24.9,5.5,3.188,72.6,69.0,70.75609756,2.043133642,8489900,1974.0,0.023225483
Nicaragua,1993,35.532,6.711,4.519,68.346,62.968,65.59141463,2.451671975,4342319,0.0,0.0
"Congo, Dem. Rep.",1993,48.694,18.214,7.223,48.731,45.883,47.27226829,3.995974171,37731020,2125.0,0.005058016
Comoros,1993,37.059,11.324,5.355,57.954,54.233,56.04812195,2.409912774,433286,0.0,0.0
United Kingdom,1993,13.6,11.0,1.79,79.2,73.8,76.43414634,0.270431182,57580402,1507000.0,2.619945977
"Gambia, The",1993,46.985,13.914,6.083,54.058,51.483,52.73909756,3.129828414,979666,204.0,0.020823423
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Greece,1993,10.0,9.5,1.39,80.2,74.7,77.38292683,1.101272936,10369866,0.0,0.0
Paraguay,1993,32.273,6.261,4.356,70.682,66.169,68.37046341,2.504317126,4470934,1500.0,0.033550037
Botswana,1993,32.728,7.6,4.394,64.081,58.95,61.45292683,2.80743871,1465072,0.0,0.0
Heavily indebted poor countries (HIPC),1993,45.02837923,16.29117706,6.537360661,51.20564791,48.53906533,49.83908516,3.162033596,376193128,2996.0,0.000869524
Canada,1994,13.6,6.8,1.7,80.83,74.69,77.68512195,1.094331921,28833410,1332982.0,4.648371087
Sao Tome and Principe,1994,36.157,9.287,5.115,64.118,60.481,62.25514634,2.171820619,125628,0.0,0.0
Lao PDR,1994,40.847,11.745,5.782,57.77,55.293,56.50129268,2.806812454,4625861,340.0,0.007349983
Arab World,1994,32.499879,7.376206471,4.684959449,67.41970403,63.94026082,65.6337067,2.581814451,237418436,199350.0,0.081298004
Latin America & Caribbean (all income levels),1994,25.26072393,6.462618282,3.000441202,72.71555866,66.15877814,69.35607391,1.784947188,468852274,1135572.0,0.242456802
Cambodia,1994,36.876,11.26,5.033,59.22,53.82,56.45414634,3.592747482,10077404,4810.0,0.047730546
Ethiopia,1994,46.686,17.146,7.094,49.543,46.956,48.21795122,3.494152985,53357867,0.0,0.0
Aruba,1994,17.859,7.007,2.149,76.033,71.098,73.50531707,6.060134558,72498,586.0,0.732468465
Sri Lanka,1994,19.545,6.866,2.353,73.193,66.406,69.71673171,1.254578499,17646000,14687.0,0.081953185
Swaziland,1994,39.28,9.634,5.211,59.859,56.98,58.38439024,1.993009919,926224,0.0,0.0
South Asia,1994,30.45700652,9.927754995,3.894979171,60.6232247,59.2782904,59.93317714,2.10637954,1209467291,31187.0,0.002577987
Argentina,1994,21.067,8.093,2.875,75.905,68.702,72.21565854,1.307446078,33961947,112000.0,0.329780857
Bolivia,1994,35.554,9.733,4.742,62.067,58.523,60.25178049,2.350975947,7292745,2659.0,0.036460894
"Bahamas, The",1994,23.11,5.542,2.601,74.528,67.734,71.04814634,1.864529575,271105,2401.0,0.885634717
Burkina Faso,1994,47.109,16.843,6.917,50.534,48.046,49.25965854,2.709582931,9552473,0.0,0.0
Bahrain,1994,26.294,3.187,3.335,74.178,72.12,73.12390244,2.448958529,535711,11360.0,2.120546339
Saudi Arabia,1994,33.073,4.73,5.352,72.211,68.544,70.33278049,2.824053293,17758096,15910.0,0.089592938
Middle East & North Africa (all income levels),1994,29.891866,6.398255766,4.267070598,69.02863486,65.88726383,67.41653226,2.18083256,270365050,269134.0,0.098930511
Guatemala,1994,38.676,7.956,5.397,67.137,60.732,63.85639024,2.331011148,9532550,2990.0,0.031366214
Guinea,1994,45.254,15.978,6.436,52.047,50.697,51.35553659,5.796255283,7136110,42.0,0.000588556
World,1994,23.98545003,9.071327099,3.005912458,68.3594904,63.91890188,66.08551773,1.535132351,5531794369,34163332.0,0.618287157
St. Lucia,1994,25.662,6.987,3.09,73.356,69.175,71.2145122,1.161378393,143592,393.0,0.270545635
"Congo, Rep.",1994,38.119,12.888,5.198,55.223,52.277,53.71407317,2.61711677,2578424,0.0,0.0
Spain,1994,9.8,8.7,1.27,81.26,74.01,77.54658537,0.310911158,39189400,257261.0,0.656329161
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Maldives,1994,35.441,7.868,5.146,62.984,63.034,63.00960976,2.491276772,233611,0.0,0.0
East Asia & Pacific (all income levels),1994,19.25286902,6.740058717,2.224084762,71.93916763,67.74958611,69.83254079,1.241805019,1891041219,6029586.0,0.312811153
Oman,1994,32.357,4.642,6.098,70.956,67.033,68.94665854,3.907519888,2043912,5616.0,0.274767211
Tanzania,1994,42.984,15.269,6.013,50.941,48.2,49.53707317,3.325468235,28157055,0.0,0.0
Cabo Verde,1994,36.029,7.551,4.863,70.37,63.429,66.81485366,2.734761116,379100,0.0,0.0
Gabon,1994,36.029,10.77,5.17,62.894,59.898,61.35946341,2.641552299,1025559,1200.0,0.117009358
European Union,1994,11.42977779,10.46738323,1.534965874,78.96631844,71.99833569,75.3942329,0.335881108,481924301,8551304.0,1.773778201
Jamaica,1994,23.6,5.7,2.815,73.051,67.812,70.36760976,0.739302242,2441024,15221.0,0.62934611
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
United Arab Emirates,1994,22.396,2.427,3.784,73.779,71.434,72.57790244,5.234037348,2121143,70586.0,3.327734151
Guam,1994,24.076,4.645,2.899,75.176,70.546,72.80453659,2.259639894,139820,1907.0,1.363896438
India,1994,28.983,10.056,3.628,60.191,58.779,59.46778049,1.90244166,921107534,0.0,0.0
Madagascar,1994,44.764,13.891,6.126,54.333,51.775,53.02280488,3.051213216,12643864,0.0,0.0
Lesotho,1994,34.107,10.213,4.686,60.54,57.719,59.09509756,1.973873644,1693459,0.0,0.0
OECD members,1994,14.66976283,8.568566584,1.885432172,78.68932758,72.0490269,75.28780096,0.878552001,1096441783,30558390.0,2.785956517
Pacific island small states,1994,31.78287742,7.216854554,4.214838823,66.3822764,62.85596389,64.57547752,1.785720444,1770870,0.0,0.0
Turkey,1994,24.316,7.618,2.835,69.748,62.114,65.83790244,1.595896271,56713073,84187.0,0.148443728
Virgin Islands (U.S.),1994,20.9,4.675,2.712,79.647,71.931,75.69490244,0.815877302,106577,6857.142857,6.349088773
"Venezuela, RB",1994,26.703,4.831,3.218,74.582,68.766,71.60307317,2.239518648,21160262,182600.0,0.862938276
Bangladesh,1994,32.461,9.083,4.033,61.457,61.737,61.60041463,2.170138529,114897543,500.0,0.00043517
Solomon Islands,1994,38.508,9.906,5.461,58.913,58.018,58.45458537,2.840032305,339490,0.0,0.0
Lebanon,1994,23.15,6.518,2.765,72.749,69.815,71.24621951,2.76088572,2900862,0.0,0.0
Mongolia,1994,26.874,9.29,3.18,63.482,58.339,60.84778049,0.874205573,2263224,0.0,0.0
France,1994,13.0,9.2,1.73,81.5,73.3,77.3,0.433831465,59105073,572000.0,0.993573197
Syrian Arab Republic,1994,33.464,4.202,4.76,72.328,70.292,71.28517073,2.802218231,13562742,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Peru,1994,28.117,6.758,3.514,69.492,64.653,67.0134878,1.889889059,23081735,36300.0,0.157267207
Vanuatu,1994,35.362,7.577,4.814,66.078,63.113,64.55934146,2.902544931,159814,0.0,0.0
Cote d'Ivoire,1994,40.167,14.29,6.005,52.816,49.454,51.094,3.224181343,13375363,0.0,0.0
Benin,1994,45.381,13.499,6.526,56.948,52.354,54.59497561,3.726379411,5582420,0.0,0.0
Other small states,1994,35.57764081,10.60668,4.789327243,61.19521978,57.14889617,59.11886959,2.193336923,14182424,5694.0,0.044710203
Cuba,1994,15.337,7.147,1.65,76.936,73.076,74.95892683,0.5900077,10821551,500.0,0.00462041
Cameroon,1994,43.328,13.704,6.173,55.002,52.118,53.52482927,2.868677657,13169247,0.0,0.0
Low & middle income,1994,26.9334083,8.96850489,3.350906356,65.64771564,62.1256387,63.82480248,1.763619402,4369311011,2751882.0,0.063102501
Togo,1994,41.024,12.041,5.957,56.345,54.598,55.45019512,2.406178913,4082422,0.0,0.0
China,1994,18.09,6.64,2.009,71.643,68.417,69.99065854,1.149619431,1178440000,638000.0,0.052592372
Dominican Republic,1994,28.317,6.026,3.262,71.978,66.536,69.19063415,1.940814961,7688196,10364.0,0.134804055
Germany,1994,9.8,11.1,1.28,79.2,72.7,75.87073171,0.657391218,81156363,1774378.0,2.157949827
Ghana,1994,37.353,10.384,5.278,58.701,56.512,57.57980488,2.776369762,15907265,1742.0,0.010950971
Tonga,1994,30.415,6.127,4.547,71.424,68.45,69.90073171,0.12251118,95560,0.0,0.0
Indonesia,1994,24.056,7.411,2.844,66.713,62.764,64.69034146,1.663824636,188019278,53438.0,0.028421554
Latin America & Caribbean (developing only),1994,25.52238976,6.457058753,3.030756415,72.48462576,65.9397439,69.1309871,1.802106712,445961841,943517.0,0.211647815
Colombia,1994,26.061,6.143,2.966,73.144,64.791,68.86563415,1.867229913,35260456,0.0,0.0
Libya,1994,25.804,4.908,4.178,71.326,67.991,69.61782927,2.191602078,4558021,0.0,0.0
Finland,1994,12.8,10.1,1.81,79.48,72.11,75.70512195,0.483854089,5066447,489174.0,9.664672185
Central African Republic,1994,40.213,19.172,5.653,46.995,42.588,44.7377561,2.408011644,3125144,0.0,0.0
North America,1994,15.21995067,8.600208087,1.986968216,79.00029259,72.45173169,75.64574496,1.304535201,288811320,17345843.0,5.960207561
Vietnam,1994,25.626,5.959,3.074,76.177,67.042,71.49809756,1.729871819,69644500,4060.0,0.00553412
Kenya,1994,39.417,10.288,5.506,59.335,55.81,57.5295122,3.153771279,25839132,1162.0,0.004497055
"Korea, Dem. Rep.",1994,20.592,6.453,2.202,72.125,64.521,68.23026829,1.562480304,21166238,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mauritius,1994,20.3,6.8,2.21,74.0,66.4,70.10731707,1.185540614,1097374,4037.0,0.36751084
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Angola,1994,52.04,22.958,7.087,43.402,39.646,41.47819512,3.302194295,11372156,1100.0,0.009672748
Central Europe and the Baltics,1994,11.78327447,11.48790734,1.670509388,75.13745676,66.77430904,70.84622957,0.068928287,110081461,110527.0,0.099847911
"Egypt, Arab Rep.",1994,27.988,7.813,3.876,68.269,63.468,65.80995122,1.592620379,59307778,6877.0,0.011595444
South Africa,1994,27.126,7.913,3.296,65.838,58.723,62.19373171,2.111753549,37473796,40000.0,0.100950204
St. Vincent and the Grenadines,1994,23.673,6.754,2.811,72.667,68.371,70.46660976,0.088848584,108097,83.0,0.076782889
Fiji,1994,27.887,6.121,3.33,68.423,64.13,66.22414634,1.41178376,754923,0.0,0.0
Caribbean small states,1994,22.20069752,6.93881594,2.604250344,71.86710924,66.07282564,68.90140862,0.757602818,6092913,23733.0,0.407774046
Brunei Darussalam,1994,29.527,3.284,3.197,76.369,72.64,74.45902439,2.798290589,279652,8304.0,2.969404832
Middle income,1994,25.17342235,8.297593275,3.084148202,67.16131925,63.40931284,65.21848913,1.632118865,3833306124,2743915.0,0.07100818
Austria,1994,11.9,10.3,1.5,79.41,72.96,76.10634146,0.824627941,7905633,220859.0,2.805498884
High income: OECD,1994,12.89230791,8.897902362,1.705904037,79.66190989,73.0038317,76.25118508,0.726883921,937717361,30042359.0,3.202326119
Mozambique,1994,43.295,19.317,6.086,46.357,43.33,44.80658537,3.712401379,14893218,0.0,0.0
Uganda,1994,49.69,17.584,7.057,47.449,45.2,46.29707317,3.360020221,19430461,0.0,0.0
Japan,1994,9.6,7.1,1.458,82.5,76.24,79.29365854,0.246819413,124536000,2131367.0,1.723586246
Niger,1994,54.837,21.118,7.769,46.004,45.538,45.76531707,3.359562127,8552812,0.0,0.0
United States,1994,15.4,8.8,2.0195,78.8,72.2,75.4195122,1.31868,259919000,16009461.0,6.103716586
Afghanistan,1994,50.675,14.744,7.758,52.046,49.975,50.9852439,9.414195173,15175325,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Panama,1994,25.387,4.857,2.948,76.58,70.99,73.71682927,2.054467044,2645922,0.0,0.0
Mali,1994,47.678,19.326,6.999,47.162,47.514,47.34229268,2.52230691,8535338,0.0,0.0
Costa Rica,1994,24.42,4.068,2.917,78.73,74.084,76.35034146,2.405875394,3312307,4533.0,0.136853257
Euro area,1994,10.90926714,9.935448556,1.434236276,80.14159624,73.18646414,76.57615886,0.405050363,311591506,5061337.0,1.626433974
Ireland,1994,13.8,9.0,1.9,78.176,72.554,75.29643902,0.499840487,3576261,61100.0,1.713445217
Pakistan,1994,37.898,9.405,5.634,62.774,61.325,62.03182927,2.563287069,120336722,16000.0,0.013296024
Nigeria,1994,43.523,18.284,6.348,47.088,45.106,46.07282927,2.505819438,103144749,9049.0,0.008773108
Lower middle income,1994,30.12310527,9.902339941,3.904827015,62.35181987,59.34642034,60.79557028,1.988779651,1840806565,233077.0,0.012646927
Ecuador,1994,28.248,5.812,3.488,72.913,67.809,70.2987561,2.222294496,10836327,0.0,0.0
Australia,1994,14.7,6.9,1.859,80.9,75.0,77.87804878,0.978336681,17667000,690000.0,3.892879466
Algeria,1994,27.795,5.741,3.971,69.038,65.881,67.421,2.235247318,28157560,4781.0,0.016979454
Chile,1994,21.477,5.443,2.51,77.47,71.548,74.43678049,1.821082297,13958378,85186.0,0.610285808
Puerto Rico,1994,17.9,7.8,2.154,78.693,69.376,73.92087805,0.842176258,3615497,95000.0,2.622388239
Belize,1994,33.98,5.598,4.286,73.137,68.021,70.51660976,1.79301752,198420,400.0,0.201592581
Fragile and conflict affected situations,1994,39.74897907,12.91883154,5.691194123,56.90397258,53.70195895,55.35165927,2.922494852,277405825,6166.0,0.002614448
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
East Asia & Pacific (developing only),1994,20.18633134,6.779579519,2.304175108,70.82387296,66.9857209,68.84762113,1.324406507,1669711213,1558170.0,0.091268093
Denmark,1994,13.0,12.1,1.75,77.77,72.59,75.11682927,0.333166396,5188628,357589.0,6.889123885
Philippines,1994,31.706,6.424,4.113,68.653,62.916,65.71453659,2.312530197,66517085,102400.0,0.153945411
Portugal,1994,11.4,10.6,1.52,78.2,71.0,74.51219512,0.122316595,9964675,101300.0,1.012894051
Morocco,1994,27.521,6.488,3.606,67.856,64.506,66.14014634,1.670323656,26000345,6725.0,0.025865041
Namibia,1994,36.35,8.712,4.842,63.432,58.639,60.97704878,2.980271456,1559480,0.0,0.0
French Polynesia,1994,25.382,5.285,3.059,71.924,67.747,69.78456098,1.489324416,208349,0.0,0.0
Guinea-Bissau,1994,44.295,16.255,6.486,52.278,47.936,50.05404878,2.279099876,1089235,0.0,0.0
Kiribati,1994,34.67,8.723,4.527,64.786,58.863,61.75226829,1.300169165,74395,0.0,0.0
Switzerland,1994,12.1,9.0,1.51,81.43,74.9,78.08536585,0.910715566,6938265,257703.0,3.740083886
Grenada,1994,24.466,8.636,3.401,71.327,66.767,68.99139024,1.126337335,98302,282.0,0.286871071
Chad,1994,51.356,19.101,7.399,47.557,45.242,46.37126829,3.159635925,6542419,0.0,0.0
Uruguay,1994,18.02,9.647,2.463,77.038,69.362,73.10639024,0.733044326,3177867,4969.0,0.156362743
Equatorial Guinea,1994,44.819,18.895,5.902,48.953,45.778,47.32678049,3.385759283,413387,0.0,0.0
"Korea, Rep.",1994,16.0,5.2,1.654,76.8,68.76,72.68195122,1.015821437,44194628,471784.0,1.071053458
Djibouti,1994,38.331,10.728,5.727,58.68,55.407,57.00358537,1.970844261,641900,0.0,0.0
Antigua and Barbuda,1994,19.274,7.265,2.128,74.476,69.38,71.86585366,2.235444056,64868,650.0,0.925332764
Low income,1994,39.49429281,13.75674953,5.415083526,55.04529975,52.80427361,53.87839956,2.714073734,536004887,7967.0,0.001603833
High income,1994,12.92171758,9.457205312,1.722614744,78.31820564,71.04889967,74.57015974,0.685439562,1162483358,31411450.0,2.697400017
Burundi,1994,47.202,18.402,7.418,47.932,44.975,46.41743902,2.036434169,6003704,353.0,0.005879704
Least developed countries: UN classification,1994,41.07144101,14.39165931,5.734621785,53.88001304,51.91699716,52.85845167,2.850380346,553786616,13415.0,0.002609506
Cyprus,1994,17.726,6.912,2.278,79.088,74.969,76.97826829,2.242056429,818814,15288.0,1.867090695
Barbados,1994,15.143,9.591,1.725,73.927,69.314,71.5642439,0.287366965,261714,1560.0,0.59607052
Qatar,1994,21.153,2.078,3.715,76.559,75.106,75.81478049,0.486960035,491996,4289.0,0.871755055
Italy,1994,9.7,9.7,1.25,81.0,74.6,77.72195122,0.061135853,56831821,1207175.0,2.120206352
Sudan,1994,41.392,11.658,5.962,57.712,54.528,56.08117073,4.375220226,22745490,0.0,0.0
Sub-Saharan Africa (developing only),1994,43.18705458,16.00858674,6.162508613,51.41504938,48.53902741,49.93954387,2.769748198,550409750,59142.0,0.011513211
Singapore,1994,17.0,4.6,1.778,79.239,74.781,76.95563415,2.530620053,3313500,179000.0,5.438606939
Malta,1994,14.1,7.4,2.0,78.6,74.7,76.60243902,0.948814497,364704,5300.0,1.365578155
Netherlands,1994,12.8,9.0,1.57,80.0,73.98,76.91658537,0.69699133,15290368,216000.0,1.420043747
Suriname,1994,22.731,7.136,2.634,71.153,64.435,67.71207317,1.33473547,424326,1078.0,0.254049952
"Iran, Islamic Rep.",1994,27.195,6.053,3.806,67.285,65.929,66.59046341,1.150961039,58982430,0.0,0.0
Israel,1994,21.3,6.6,2.8,79.1,75.3,77.15365854,2.658091779,5261000,64484.0,1.293391516
Malaysia,1994,27.442,4.69,3.422,73.379,69.584,71.43521951,2.551371319,19701410,340022.0,1.725876473
Iceland,1994,17.5,6.6,2.22,80.84,77.12,78.93463415,1.016811928,263725,17409.0,6.634957295
Zambia,1994,44.319,20.164,6.288,42.311,41.209,41.74656098,2.3250116,8423058,0.0,0.0
Sub-Saharan Africa (all income levels),1994,43.18827934,16.01075296,6.162309636,51.41324816,48.53690213,49.93758276,2.77025072,550823137,59142.0,0.011503953
Senegal,1994,42.142,11.145,6.287,59.134,55.966,57.51136585,3.003118526,8234586,0.0,0.0
Papua New Guinea,1994,35.337,10.033,4.701,59.533,54.077,56.73846341,2.512322323,4480243,0.0,0.0
Malawi,1994,48.306,18.328,6.614,48.114,46.001,47.03173171,0.421277256,9800635,0.0,0.0
Zimbabwe,1994,34.931,11.042,4.69,56.38,53.534,54.92229268,2.068695674,11210802,0.0,0.0
Jordan,1994,33.728,4.73,4.997,72.007,69.199,70.5687561,4.530163252,3906000,1456.0,0.036805421
Poland,1994,12.8,10.2,1.87,76.0,67.4,71.59512195,0.254450914,38461408,15699.0,0.040871324
Mauritania,1994,39.977,10.235,5.818,60.326,57.591,58.92514634,2.855170887,2202966,0.0,0.0
Small states,1994,31.62372631,9.338706001,4.106629822,64.52761002,60.04620152,62.22877709,1.759862273,22046207,29427.0,0.14488916
New Caledonia,1994,23.6,5.75,2.763333333,75.6,67.9,71.65609756,2.774576732,181696,0.0,0.0
Trinidad and Tobago,1994,17.655,7.594,2.131,71.367,65.309,68.26412195,0.557961974,1244410,1679.0,0.134923377
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Honduras,1994,36.725,6.202,4.846,70.392,65.739,68.0087561,2.646771761,5319841,0.0,0.0
Myanmar,1994,24.659,9.62,3.046,62.005,57.593,59.74519512,1.441090482,44052710,643.0,0.001459615
Mexico,1994,27.267,5.117,3.117,74.778,69.311,71.97782927,2.090249515,91653826,386132.0,0.421293924
Tunisia,1994,24.0,5.7,3.013,72.7,68.9,70.75365854,1.953722486,8657400,2269.0,0.026164191
Nicaragua,1994,34.735,6.411,4.381,68.9,63.705,66.23914634,2.457892628,4450371,324.0,0.007280292
"Congo, Dem. Rep.",1994,48.782,18.395,7.251,48.506,45.658,47.04726829,3.965469356,39257294,4250.0,0.010116031
Comoros,1994,36.915,11.184,5.293,58.132,54.486,56.26453659,2.402105678,443820,0.0,0.0
United Kingdom,1994,13.2,11.4,1.76,79.1,73.8,76.38536585,0.239745439,57718614,2268000.0,3.932425055
"Gambia, The",1994,46.756,13.708,6.07,54.313,51.74,52.99512195,2.875180193,1008242,457.0,0.04532642
High income: nonOECD,1994,13.044616,11.79397105,1.802963527,72.18290211,61.9365925,67.54406061,0.512902188,224765997,1369091.0,0.604811303
Greece,1994,9.7,9.3,1.34,79.9,75.0,77.3902439,0.918270825,10465528,48000.0,0.458787633
Paraguay,1994,31.687,6.196,4.266,70.867,66.345,68.55085366,2.440511019,4581390,3390.0,0.07399501
Botswana,1994,31.898,8.054,4.252,62.989,57.869,60.36656098,2.708981882,1505303,0.0,0.0
Heavily indebted poor countries (HIPC),1994,44.81959575,16.11849726,6.48850529,51.32566705,48.72938421,49.99484668,3.176195978,388141759,6606.0,0.001862185
Canada,1995,13.1,7.2,1.6695,80.93,74.94,77.86195122,0.961244717,29111906,1865779.0,6.435664704
Sao Tome and Principe,1995,35.932,9.169,5.032,64.275,60.643,62.41470732,1.97592365,128135,0.0,0.0
Lao PDR,1995,39.753,11.205,5.603,58.576,56.083,57.29909756,2.67224944,4751142,625.0,0.013154732
Arab World,1995,31.78383782,7.227944121,4.545394374,67.74963333,64.28048783,65.96898431,2.465317394,243271554,263401.0,0.105012027
Latin America & Caribbean (all income levels),1995,24.86728919,6.373487016,2.941358736,73.05341067,66.51238631,69.70268907,1.751018488,477061964,2255194.0,0.473349179
Cambodia,1995,35.082,10.867,4.825,59.871,54.424,57.08107317,3.4416274,10430268,10239.0,0.098166222
Ethiopia,1995,46.456,16.751,7.046,49.996,47.501,48.71807317,3.394067479,55199953,0.0,0.0
Aruba,1995,17.27,6.975,2.108,76.066,71.126,73.5357561,5.63427331,76700,1152.0,1.435626459
Sri Lanka,1995,19.259,7.075,2.32,73.053,66.245,69.56597561,1.378866431,17891000,29182.0,0.161302474
Swaziland,1995,37.951,9.921,5.035,58.923,56.188,57.52214634,1.924626102,944223,0.0,0.0
South Asia,1995,29.88780775,9.739931298,3.808906043,61.05231653,59.56947185,60.29167982,2.066859864,1234465285,54948.0,0.004450435
Argentina,1995,20.8,8.032,2.827,76.142,68.917,72.44139024,1.27967734,34399343,241163.0,0.701068622
Bolivia,1995,35.012,9.513,4.663,62.535,58.919,60.68290244,2.318103208,7463773,4056.0,0.054342489
"Bahamas, The",1995,22.661,5.575,2.566,74.607,67.867,71.15480488,1.724227933,275820,3250.5,1.174829499
Burkina Faso,1995,47.026,16.75,6.882,50.613,48.006,49.27770732,2.727333023,9816586,0.0,0.0
Bahrain,1995,25.323,3.133,3.212,74.366,72.358,73.3375122,2.481321094,549170,17616.0,3.207749877
Saudi Arabia,1995,32.283,4.619,5.174,72.587,68.891,70.69392683,2.441582522,18197011,15959.0,0.087701216
Middle East & North Africa (all income levels),1995,28.88584924,6.229070923,4.085503112,69.3989474,66.35507609,67.83730087,2.090629688,276017382,413526.0,0.148921586
Guatemala,1995,38.449,7.717,5.32,67.784,61.19,64.40658537,2.321101698,9756398,10462.0,0.107232198
Guinea,1995,44.82,15.74,6.375,52.172,51.031,51.58758537,5.160719067,7514053,812.0,0.010806418
World,1995,23.60574484,8.995640608,2.93178961,68.56999717,64.06335588,66.26071458,1.491788911,5614317064,55511190.0,0.990245006
St. Lucia,1995,24.761,7.138,2.983,73.278,69.231,71.20514634,1.156306374,145262,524.0,0.360727513
"Congo, Rep.",1995,38.218,13.097,5.171,54.738,51.925,53.29719512,2.655716735,2647817,0.0,0.0
Spain,1995,9.4,8.6,1.2,81.62,74.36,77.90146341,0.269014245,39294967,411930.0,1.047842335
